"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29"
"X33" 4457.94241284828 4333.23802969762 4012.69505200975 3979.0995014611 4179.02882371303 4224.41219289451 4406.9233379936 4012.69505200975 3979.0995014611 4179.02882371303 4224.41219289451 4266.64669868122 4103.92714578549 4105.94679428007 4394.63771877693 4403.93688190173 4550.00533312334 4266.64669868122 4103.92714578549 4105.94679428007 4394.63771877693 4403.93688190173 4550.00533312334 4287.29755259723 4447.01125595583 4447.01125595583 4663.70525488581 4663.70525488581 4241.23710691567
"X34" 4262.51859437585 4212.9430308116 3898.77816492424 3888.98042409228 4061.91017646534 4094.13483056454 4269.95445082493 3898.77816492424 3888.98042409228 4061.91017646534 4094.13483056454 4173.21746455639 3983.20684277905 3984.03327989256 4211.88056332484 4217.29919588296 4422.96822765822 4173.21746455639 3983.20684277905 3984.03327989256 4211.88056332484 4217.29919588296 4422.96822765822 4143.79603691765 4237.18441558552 4237.18441558552 4440.69118189172 4440.69118189172 4138.30078654154
"X35" 4071.91915280663 4074.21134279473 3784.59413130942 3796.10547244995 3938.69844388332 3955.95092889106 4099.10983397487 3784.59413130942 3796.10547244995 3938.69844388332 3955.95092889106 4062.91252573738 3852.35348494486 3851.92950533331 3999.65796657999 4001.19424588477 4259.96343496505 4062.91252573738 3852.35348494486 3851.92950533331 3999.65796657999 4001.19424588477 4259.96343496505 3987.4748859256 4010.81266608566 4010.81266608566 4193.687399651 4193.687399651 4026.72415510979
"X36" 3941.46106729858 3954.96626915926 3693.59434256284 3718.29225438088 3825.29486631888 3828.18250183663 3939.35985655101 3693.59434256284 3718.29225438088 3825.29486631888 3828.18250183663 3962.60134724812 3731.87086360029 3730.42764819145 3786.34469814337 3784.19185647755 4082.13231372755 3962.60134724812 3731.87086360029 3730.42764819145 3786.34469814337 3784.19185647755 4082.13231372755 3844.21225337111 3798.58414085512 3798.58414085512 3956.67957757895 3956.67957757895 3922.41429543621
"X37" 3899.60990590752 3892.71670182098 3639.63279957008 3666.70239419893 3735.35319570329 3726.30916770375 3833.00291270024 3639.63279957008 3666.70239419893 3735.35319570329 3726.30916770375 3890.27316408242 3639.88334648032 3637.88989072059 3600.91351818658 3595.49265586541 3913.89341021605 3890.27316408242 3639.88334648032 3637.88989072059 3600.91351818658 3595.49265586541 3913.89341021605 3734.34082989587 3626.94198054016 3626.94198054016 3759.82773390945 3759.82773390945 3837.41407450854
"X38" 3937.73105540577 3907.65055207849 3624.33671843215 3643.91176782349 3677.78040961679 3660.02591789179 3803.22041140164 3624.33671843215 3643.91176782349 3677.78040961679 3660.02591789179 3850.43858432241 3587.92836968628 3585.94830314213 3465.26992701829 3457.49279250055 3776.15352194406 3850.43858432241 3587.92836968628 3585.94830314213 3465.26992701829 3457.49279250055 3776.15352194406 3667.82308210387 3511.78995141407 3511.78995141407 3622.00537003242 3622.00537003242 3776.88760048051
"X39" 4015.99984347171 3990.18264582773 3639.26437901533 3645.15887854343 3655.44445185766 3632.01136760131 3843.6854953817 3639.26437901533 3645.15887854343 3655.44445185766 3632.01136760131 3835.75900673821 3579.08323710653 3577.61015401593 3389.59079593062 3381.08888895784 3681.3687824588 3835.75900673821 3579.08323710653 3577.61015401593 3389.59079593062 3381.08888895784 3681.3687824588 3643.63962092366 3456.20638891273 3456.20638891273 3547.90164209103 3547.90164209103 3739.10757561404
"X40" 4080.88766048896 4096.68289169283 3671.25633516104 3661.78150591133 3665.25677646814 3638.42986046701 3916.71754106413 3671.25633516104 3661.78150591133 3665.25677646814 3638.42986046701 3833.10691089856 3608.52796872663 3607.86636182622 3371.43290290776 3364.51653429346 3631.48470463769 3833.10691089856 3608.52796872663 3607.86636182622 3371.43290290776 3364.51653429346 3631.48470463769 3652.7287897218 3452.07759465409 3452.07759465409 3529.63332955122 3529.63332955122 3717.85473545139
"X41" 4085.18952361249 4155.0609022441 3708.29310198782 3685.13246129483 3699.51077177296 3670.78742834929 3960.20901084261 3708.29310198782 3685.13246129483 3699.51077177296 3670.78742834929 3830.62318630017 3665.95589670566 3666.18293384281 3398.23749426493 3395.52528487271 3618.92659297832 3830.62318630017 3665.95589670566 3666.18293384281 3398.23749426493 3395.52528487271 3618.92659297832 3682.64662221961 3484.34699737917 3484.34699737917 3551.39325441718 3551.39325441718 3705.77389953999
"X42" 4001.43911663127 4079.61855786264 3743.30215410563 3709.32363478633 3748.15912698607 3718.57042118284 3901.66224799153 3743.30215410563 3709.32363478633 3748.15912698607 3718.57042118284 3822.33731773507 3738.91321669903 3739.91510052293 3452.10946805421 3455.99246775438 3630.08989097607 3822.33731773507 3738.91321669903 3739.91510052293 3452.10946805421 3455.99246775438 3630.08989097607 3721.87693558724 3536.10217176462 3536.10217176462 3595.09609086401 3595.09609086401 3697.0985345503
"X43" 3823.59514223529 3792.85628045252 3774.57440248285 3731.90524682568 3801.64551610244 3772.14263944992 3676.73735220093 3774.57440248285 3731.90524682568 3801.64551610244 3772.14263944992 3808.44954534402 3816.25193195441 3817.79903597973 3515.61513151219 3527.86310569517 3650.42280946797 3808.44954534402 3816.25193195441 3817.79903597973 3515.61513151219 3527.86310569517 3650.42280946797 3762.4256594187 3593.09292535884 3593.09292535884 3645.39752086293 3645.39752086293 3688.75704758083
